puzzle,category,date
BURT LANCASTER,Person,9/19/83
AN EYE FOR AN EYE AND A TOOTH FOR A TOOTH,Phrase,9/19/83
CONSTRUCTIVE CRITICISM,Thing,9/19/83
BUBBLE BATH,Thing,9/23/83*
THE WAY TO A MAN'S HEART IS THROUGH HIS STOMACH,Phrase,9/23/83*
MASONIC TEMPLE,Place,9/23/83*
FULL-LENGTH MIRROR,Thing,9/26/83*
HONESTY IS THE BEST POLICY,Phrase,9/26/83*
TOM SELLECK,Person,9/26/83*
LINDA EVANS,Person,10/24/83*
KNIFE FORK AND SPOON,Things,10/24/83*
ABSENT WITHOUT LEAVE,Phrase,10/24/83*
WILLIE NELSON,Person,9/20/83
CLOSE COVER BEFORE STRIKING,Phrase,9/20/83
BIRTH CERTIFICATE,Thing,9/20/83
MULLIGAN STEW,Thing,9/27/83*
TOMB OF THE UNKNOWN SOLDIER,Landmark,9/27/83*
CLINICALLY TESTED,Phrase,9/27/83*
BOSTON RED SOX,People,9/27/83*
MOST LIKELY TO SUCCEED,Phrase,9/28/83*
THE WHOLE BALL OF WAX,Phrase,9/28/83*
NIELSEN RATINGS,Things,9/28/83*
JACK LEMMON,Person,9/29/83*
THERE'S NO BUSINESS LIKE SHOW BUSINESS,Title,9/29/83*
DYED-IN-THE-WOOL,Phrase,9/29/83*
DAILY HOROSCOPE,Thing,9/30/83*
ACTIONS SPEAK LOUDER THAN WORDS,Phrase,9/30/83*
PHILADELPHIA PENNSYLVANIA,Place,9/30/83*
NOTHING VENTURED NOTHING GAINED,Phrase,10/3/83*
REGISTERED LETTER,Thing,10/3/83*
SWISS BANK ACCOUNT,Thing,10/3/83*
TIDDLYWINKS,Thing,10/4/83*
KATHARINE HEPBURN,Person,10/4/83*
CLINICAL PSYCHOLOGIST,Occupation,10/4/83*
DR FRANKENSTEIN,Fictional Character,10/5/83*
CHEECH AND CHONG,People,10/5/83*
ELEMENTARY MY DEAR WATSON,Quotation,10/5/83*
BATTING A THOUSAND,Phrase,10/6/83*
VICTIM OF CIRCUMSTANCE,Phrase,10/6/83*
PUT THAT IN YOUR PIPE AND SMOKE IT,Phrase,10/6/83*
BROOKE SHIELDS,Person,10/7/83*
THE LEGEND OF SLEEPY HOLLOW,Title,10/7/83*
ELECTRIC LIGHT BULB,Thing,10/7/83*
BIGGER AND BETTER,Phrase,9/22/83
VITAL STATISTICS,Things,9/22/83
THE PEOPLE'S REPUBLIC OF CHINA,Place,9/22/83
LILY TOMLIN,Person,10/10/83*
BURST OF APPLAUSE,Thing,10/10/83*
TAKE THE BULL BY THE HORNS,Phrase,10/10/83*
THE WINDY CITY,Nickname,10/11/83*
SING A SONG OF SIXPENCE,Quotation,10/11/83*
DALLAS COWBOYS,People,10/11/83*
HASHED BROWN POTATOES,Things,10/12/83*
I CAME I SAW I CONQUERED,Quotation,10/12/83*
TAX-EXEMPT BONDS,Things,10/12/83*
JACK NICKLAUS,Person,10/12/83*
FICKLE FINGER OF FATE,Thing,10/13/83*
SIGN ON THE DOTTED LINE,Phrase,10/13/83*
THE WIZARD OF OZ,Title,10/13/83*
MELISSA MANCHESTER,Person,10/14/83*
CHARITY BEGINS AT HOME,Quotation,10/14/83*
FIRST LIEUTENANT,Person,10/14/83*
PROVIDENCE RHODE ISLAND,Place,10/17/83*
EVICTION NOTICE,Thing,10/17/83*
GIVE ME LIBERTY OR GIVE ME DEATH,Quotation,10/17/83*
HISTORY PROFESSOR,Occupation,10/18/83
TO BE CONTINUED,Phrase,10/18/83
WILLIAM F BUCKLEY JR,Person,10/18/83
FILM CRITIC,Occupation,10/19/83*
GONE WITH THE WIND,Title,10/19/83*
JOLLY GREEN GIANT,Fictional Character,10/19/83*
DETROIT MICHIGAN,Place,10/19/83*
HANDLE WITH CARE,Phrase,10/20/83*
ONE GIANT LEAP FOR MANKIND,Quotation,10/20/83*
DISCIPLINARY ACTION,Phrase,10/20/83*
MICKEY MANTLE,Person,10/21/83*
GETTING DOWN TO BRASS TACKS,Phrase,10/21/83*
CONSUMER PRICE INDEX,Thing,10/21/83*
BOB NEWHART,Person,9/21/83
THIS LITTLE PIG HAD ROAST BEEF,Quotation,9/21/83
FALSE EYELASHES,Things,9/21/83
KING KONG,Fictional Character,9/21/83
MATTHEW MARK LUKE AND JOHN,People,11/7/83*
SYMPATHY CARD,Thing,11/7/83*
STRAIGHTEN UP AND FLY RIGHT,Phrase,11/7/83*
CHAMBER OF COMMERCE,People,11/8/83*
CUT TO THE QUICK,Phrase,11/8/83*
BARGAIN BASEMENT,Place,11/8/83*
SCARED OUT OF MY WITS,Phrase,11/9/83*
DEMOCRATIC NATIONAL COMMITTEE,People,11/9/83*
ORVILLE AND WILBUR WRIGHT,People,11/9/83*
JIGSAW PUZZLE,Thing,11/10/83*
A SIGHT FOR SORE EYES,Phrase,11/10/83*
RAIN RAIN GO AWAY COME AGAIN ANOTHER DAY,Quotation,11/10/83*
MOST VALUABLE PLAYER,Person,11/15/83*
TIME IS OF THE ESSENCE,Phrase,11/15/83*
PLEASE DO NOT DISTURB,Phrase,11/15/83*
RICHARD SIMMONS,Person,11/14/83
OUT OF THE FRYING PAN AND INTO THE FIRE,Phrase,11/14/83
SAN FRANCISCO CALIFORNIA,Place,11/14/83
DON'T HOLD YOUR BREATH,Phrase,11/16/83*
NEON LIGHTS,Things,11/16/83*
ABOVE AND BEYOND THE CALL OF DUTY,Phrase,11/16/83*
UNITED STATES AMBASSADOR,Person,1/2/84*
ELECTRIC BLANKET,Thing,1/2/84*
STILL WATERS RUN DEEP,Phrase,1/2/84*
BIRDS OF A FEATHER FLOCK TOGETHER,Phrase,1/3/84*
GOOD-TIME CHARLIE,Person,1/3/84*
SWITCHBOARD OPERATOR,Occupation,1/3/84*
REMEMBER THE ALAMO,Phrase,1/4/84*
SLIP INTO SOMETHING MORE COMFORTABLE,Phrase,1/4/84*
VENDING MACHINE,Thing,1/4/84*
MUD WRESTLING,Event,1/26/84*
MICK JAGGER,Person,11/22/83
JAPANESE KIMONO,Thing,11/22/83
PUTTING THE CART BEFORE THE HORSE,Phrase,11/22/83
A MAN AFTER MY OWN HEART,Phrase,1/26/84*
WILT CHAMBERLAIN,Person,1/26/84*
ONE SIZE FITS ALL,Phrase,2/6/84*
KING OF THE JUNGLE,Title,2/6/84*
COUNTERFEIT MONEY,Thing,2/6/84*
MILLION-DOLLAR SMILE,Phrase,2/7/84*
GULF OF MEXICO,Place,2/7/84*
HISTORY IN THE MAKING,Phrase,2/7/84*
OUT OF THE ORDINARY,Phrase,4/26/84
COOKIES CAKES AND PIES,Things,4/26/84
WAYNE NEWTON,Person,4/26/84
HEARTFELT THANKS,Phrase,2/9/84*
RAY CHARLES,Person,2/9/84*
TABLE OF CONTENTS,Thing,2/9/84*
COMMUNITY PROPERTY,Thing,2/17/84
SOMEBODY HAS BEEN LYING IN MY BED,Quotation,2/17/84
UNDER THE WEATHER,Phrase,2/17/84
BACON AND EGGS,Things,3/5/84
CROSS-COUNTRY SKIING,Event,3/5/84
MY WILD IRISH ROSE,Title,3/5/84
LIVING THE LIFE OF RILEY,Phrase,3/16/84*
